Name of the company,Location,Email,Phone number,Website,Application domain
BASSEER Technology Innovation SARL,"Ouled Fayet, Algiers",contact@basseer.com,0559 10 77 75,www.basseer.com,IT Solutions
DIGIWAVES,"Ouled Fayet, Algiers",contact@digiwaves.io,0550 20 08 06,www.digiwaves.io,IT Solutions
UMAITEK ALGERIE,"Kouba, Algiers",contact@umaitek.dz,023 70 79 58,https://www.umaitek.dz/,IT Solutions
DELTALOG,"Kouba, Algiers",contact@deltalog.dz,021 28 88 18,https://www.deltalog.dz,IT Solutions
Smartest Algeria,"Cheraga, Algiers",contact@smartest.dz,/,https://www.smartest.dz/,IT Solutions
ICOSNET,"Cheraga, Algiers",contact@icosnet.com,021 99 33 42,https://icosnet.com.dz/,IT Solutions
Alpha Computers,"Hydra, Algiers",contact@alphacomputer-dz.com,021 69 29 38,http://alphacomputer-dz.com,IT Solutions
Proxylan filiale CERIST,"Ben Aknoun, Algiers",info@proxylan.dz,0661 90 99 01,http://www.proxylan.dz,IT Solutions
M2I services,"El Achour, Algiers",info@m2i-service.com,023 34 85 98,https://www.m2i-services.com/,IT Solutions
3TSolutions,"Rahmania, Algiers",contact@3t-solutions.net,0776 20 80 11,https://3t-solutions.dz,IT Solutions
DeepLyfe.inc,"Alger Centre, Algiers",contact@deeplyfe.org,0552 61 51 29,https://deeplyfe.org/,IT Solutions
DataGix,"Mohammadia, Algiers",contact@datagix.com,0561 87 31 01,https://www.datagix.com/,IT Solutions
TransformaTek,Ain Temouchent,contact@transformatek.dz,0661 55 77 30,https://transformatek.dz,IT Solutions
"Centre de Recherche Scientifique et Technique 
pour le Développement de la Langue Arabe (CRSTDLA)","Bouzareah, Algiers",contact@crstdla.dz,023 18 00 94,https://www.crstdla.dz/,Scientific Research & Development
Centre de Recherche en Astronomie Astrophysique et Géophysique (CRAAG),"Bouzareah, Algiers",contact@craag.dz,023 18 90 99,https://www.craag.dz/index.php,Scientific Research & Development
"Centre de Développement des 
Energies Renouvelables (CDER)","Bouzareah, Algiers",https://www.cder.dz/contact.php,023 18 90 51,https://www.cder.dz,Scientific Research & Development
Centre de Recherche en Technologies Industrielles (CRTI),"Cheraga, Algiers",https://www.crti.dz/staff.php,021 34 20 19,https://www.crti.dz/,Scientific Research & Development
Agence Spatial Algérienne (ASAL),"El Biar, Algiers",info@asal.dz,023 27 05 31,https://asal.dz,Scientific Research & Development
"Centre de Recherche sur l'Information 
Scientifique et Technique (CERIST)","Ben Aknoun, Algiers",https://www.cerist.dz/index.php/fr/contact,023 25 54 03,https://www.cerist.dz/index.php/,Scientific Research & Development
"Centre de Développement des 
Technologies Avancées (CDTA)","Baba Hassen, Algiers",contact@cdta.dz,023 35 22 68,https://www.cdta.dz/,Scientific Research & Development
"Centre de Recherche Nucléaire d’Alger 
(CRNA)","Alger Centre, Algiers",depp@comena-dz.org,021 43 44 44,https://www.comena.dz/,Scientific Research & Development
Institut National de Recherche en Education (INRE),"El Achour, Algiers",inre@education.gov.dz,023 34 52 45,https://www.inre.dz/,Scientific Research & Development
Centre de Recherche en Biotechnologie (CRBT),Constantine,secretariat@crbt.dz,031 77 50 37,https://www.crbt.dz/,Scientific Research & Development
Algérie Poste,"Bab Ezzouar, Algiers",contact@poste.dz,023 92 32 00,https://www.poste.dz/,Finance & Banking
Natixis,"Bab Ezzouar, Algiers",https://www.natixis.dz/contact/,023 92 43 43,https://www.natixis.dz,Finance & Banking
Société Général,"El Biar, Algiers",j-jarry@sgalgerie.com.dz,021 45 14 12,https://societegenerale.dz,Finance & Banking
Gulf Bank Algeria,"El Biar, Algiers",crc@agb.dz,021 98 49 04,https://www.agb.dz/,Finance & Banking
Bank ABC Algeria,"Bir Mourad Raïs, Algiers",information@bank-abc.com,023 56 95 23​,www.bank-abc.com,Finance & Banking
Banque Extérieure d'Algérie (BEA),"Bir Mourad Raïs, Algiers",https://www.bea.dz/contact,023 56 92 40,https://www.bea.dz/,Finance & Banking
Crédit Populaire d'Algérie (CPA),"Alger Centre, Algiers",https://www.cpa-bank.dz/index.php/fr/contacts,021 64 15 15,https://www.cpa-bank.dz/,Finance & Banking
Banque Nationale d'Algérie (BNA),"Birkhadem, Algiers",https://www.bna.dz/fr/contact/,021 42 64 26,https://www.bna.dz/,Finance & Banking
BEYN (ex : AeBS - Algeria e-Banking Services),"Cheraga, Algiers",contact@beyn.io,023 30 59 12,https://beyn.io/,Finance & Banking
Algérie Ferries,"Alger Centre, Algiers",contact@algerieferries.dz,021 64 43 77,https://algerieferries.com/,Transport Services
Air Algérie,"Alger Centre, Algiers",contact@airalgerie.dz,023 50 41 41,https://portail.airalgerie.dz/,Transport Services
Tassili Airlines,"Alger Centre, Algiers",https://www.tassiliairlines.dz/contact,021 73 78 00,https://www.tassiliairlines.dz/,Transport Services
"Entreprise de Transport 
Urbain et Suburbain d'Alger (ETUSA)","Alger Centre, Algiers",communication@etusa.dz,021 65 57 58,https://www.etusa.dz/,Transport Services
Société Nationale des Transports Ferroviaires (SNTF),"Alger Centre, Algiers",contact@sntf.dz,021 71 15 10,https://www.sntf.dz/,Transport Services
Métro El Djazair,"Hussein Dey, Algiers",contact@metro-eldjazair.com,023 71 62 32,https://metro-eldjazair.dz/,Transport Services
SETRAM,"Kouba, Algiers",https://www.setram.dz/contact-us,0982 21 90 33,https://www.setram.dz/,Transport Services
"Numilog - 
Entreprise de transport et de logistique en Algérie","Bachdjerah, Algiers",communication.numilog@numilog.dz,0770 30 93 17,https://numilog.dz/,Transport Services
BAYANNET,"El Achour, Algiers",contact@bayannet.com,0671 40 04 40,https://bayannet.com/,Data and Analytics
DATA IMPACT by Nielsen IQ,"Hydra, Algiers",contact@dataimpact.io,/,http://www.dataimpact.io/,Data and Analytics
HelloData,"Bab Ezzouar, Algiers",contact@hellodatasolutions.com,0793 37 82 83,https://hellodata.dz/,Data and Analytics
Data Digital One,"Dely Ibrahim, Algiers",contact@data-digital-one.dz,023 24 14 06,https://www.data-digital-one.dz/,Data and Analytics
D&D | Data&Development,Constantine,info@datadevelopment.pro,0542 21 67 29,https://datadevelopment.pro,Data and Analytics
Emploi Partner,"Kouba, Algiers",contact@emploipartner.com,023 71 41 00,https://www.emploipartner.com/,Recruiting Platform
Triemploi,"Birkhadem, Algiers",https://www.triemploi.com/contact,021 57 04 23,https://www.triemploi.com/,Recruiting Platform
